Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
MEGA-lite Bright Stripe,30°,17W,,C,0,,2.49,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,-22.17',7.45',19.13',90°,-45.0°,-180.0°,-179°,90°,No,,,No,,,941272a3-4788-432d-b151-ddbed5b7761d,
MEGA-lite Bright Stripe,30°,17W,,C,0,,2.97,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,-22.17',10.26',19.13',90°,45.0°,180.0°,-180°,90°,No,,,No,,,dfa01fb9-0597-40d9-910a-c204be274558,
ADJ 12PX Hex,30°,133W,,C,0,,2.329,8 Channel,8,12PX Pars,,,,,,,8.8lbs,,-22.17',8.85',17.60',-90°,0°,0°,-180°,90°,No,,,No,,,98382a9c-7c0d-4d48-bf55-ec2798f75a12,
Blizzard Lighting HotBox RGBA,30°,47W,,C,0,,2.313,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,-19.11',6.04',17.60',-90°,0°,0°,-180°,90°,No,,,No,,,4a7c3a97-9387-4941-9d07-f17cb07ca857,
Blizzard Lighting HotBox RGBA,30°,47W,,C,0,,2.321,8 Channel Mode,8,Hotbox RGBW,,,,,,,3.5lbs,,-19.11',11.67',17.60',-90°,0°,0°,-180°,90°,No,,,No,,,100ff1b6-e0d4-471d-8422-8d6383ff54ee,
MEGA-lite Bright Stripe,30°,17W,,C,0,,2.145,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,-19.11',4.63',19.13',90°,-45.0°,180.0°,-180°,89°,No,,,No,,,7d092859-b685-4a8e-912c-aa2ec9ab3118,
MEGA-lite Bright Stripe,30°,17W,,C,0,,2.193,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,-19.11',7.45',19.13',90°,45.0°,-180.0°,-179°,89°,No,,,No,,,deadc221-ec6c-4f73-9f26-565a3c695a6f,
MEGA-lite Bright Stripe,30°,17W,,C,0,,2.241,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,-19.11',10.26',19.13',90°,-45.0°,180.0°,-180°,89°,No,,,No,,,dce84524-e05e-4442-a2fa-85d57f9ffadc,
ADJ 12PX Hex,30°,133W,,C,0,,2.337,8 Channel,8,12PX Pars,,,,,,,8.8lbs,,-19.11',8.85',17.60',-90°,0°,0°,-180°,90°,No,,,No,,,e6df6a05-4111-4977-b88f-bf076becd4ad,
Martin MAC Quantum Profile,12° - 36°,750W,,G,0,,9.65,16-Bit Extended,27,Quantums,,,,,,,51.1lbs,,-25.00',13.45',90',-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,000f204d-9da6-4f14-8adb-f9030796e1a3,
Generic Par 38,Spot/120W/24V,120W,,A,0,,1.9,Control,1,Par 38/Elipsoidal,,,,,,,1.8lbs,,1.40',15.86',17.67',-0°,0°,0°,0°,0°,No,,,No,,,81a702af-7e4b-4dd1-b78c-c5f9fbb55a99,
Generic Par 38,Spot/120W/24V,120W,,A,0,,1.7,Control,1,Par 38/Elipsoidal,,,,,,,1.8lbs,,-1.40',15.86',17.67',-0°,0°,0°,0°,0°,No,,,No,,,a6e8cbaa-16a7-45f6-a36f-78478e515b48,
