Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"-24.81""","216.30""","-47.90""",0°,90.0°,-0.0°,-89°,0°,No,0°,0°,No,0°,0°,4d23d307-61e1-46ac-936e-d0e1e86c9bfc,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"-70.21""","204.13""","-47.90""",0°,90.0°,0.0°,0°,0°,No,0°,0°,No,0°,0°,67cc2b40-2887-4de3-b7da-a454a9504079,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"-8.05""","220.79""","-47.90""",0°,0°,-75.0°,-90°,75°,No,,,No,,,7b0e9a93-8d44-4db5-be17-c02847ff20bd,
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"-115.60""","191.97""","-47.90""",0°,90.0°,-0.0°,-89°,0°,No,0°,0°,No,0°,0°,a234759f-1e65-4fa7-84d8-3df80666700f,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"-161.00""","179.81""","-47.90""",0°,90.0°,0.0°,0°,0°,No,0°,0°,No,0°,0°,642ae32e-bf65-45c8-9214-3445bd5308c4,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"-98.85""","196.46""","-47.90""",0°,0°,-75.0°,-90°,75°,No,,,No,,,3d58640c-cc16-4608-8264-081de167fbd0,
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"-206.40""","167.64""","-47.90""",0°,90.0°,-0.0°,-89°,0°,No,0°,0°,No,0°,0°,f361d6bc-3b25-438c-8924-0076cd7dfef8,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"-251.80""","155.48""","-47.90""",0°,90.0°,0.0°,0°,0°,No,0°,0°,No,0°,0°,1cfd04a7-b05b-409f-a269-752e871b5865,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"-189.65""","172.13""","-47.90""",0°,0°,-75.0°,-90°,75°,No,,,No,,,bc18a5b0-78e4-4497-9230-d1e6b0d4c0e7,
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"-24.81""","216.30""","-155.90""",0°,90.0°,-0.0°,-89°,0°,No,0°,0°,No,0°,0°,09cece63-223e-4b30-af79-312da9ad2e2f,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"-70.21""","204.13""","-155.90""",0°,90.0°,0.0°,0°,0°,No,0°,0°,No,0°,0°,b0e2ba6e-ba01-4d05-a613-23d86ec138f1,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"-8.05""","220.79""","-155.90""",0°,0°,-75.0°,-90°,75°,No,,,No,,,c3082a88-fc25-4f75-98bf-33667c0a2dd3,
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"-115.60""","191.97""","-155.90""",0°,90.0°,-0.0°,-89°,0°,No,0°,0°,No,0°,0°,669d93b6-7284-44ac-886e-c865a86b8187,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"-161.00""","179.81""","-155.90""",0°,90.0°,0.0°,0°,0°,No,0°,0°,No,0°,0°,dfb2e114-b210-4a5d-ad83-68070d3c0335,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"-98.85""","196.46""","-155.90""",0°,0°,-75.0°,-90°,75°,No,,,No,,,7a59a3db-4b11-495f-9ef1-a2851056c498,
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"-206.40""","167.64""","-155.90""",0°,90.0°,-0.0°,-89°,0°,No,0°,0°,No,0°,0°,f096cb30-ce7a-481f-b19d-af3c1f9dcbd5,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"-251.80""","155.48""","-155.90""",0°,90.0°,0.0°,0°,0°,No,0°,0°,No,0°,0°,45e884a1-3f5d-4343-b58c-0fa804ea8d30,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"-189.65""","172.13""","-155.90""",0°,0°,-75.0°,-90°,75°,No,,,No,,,a68081d2-705a-4e9e-8e4b-7fe5da372178,
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"24.81""","216.30""","60.10""",0°,-90.0°,0.0°,89°,0°,No,0°,0°,No,0°,0°,d62e52fb-2879-4824-bd8d-37aadf7dd3c4,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"70.21""","204.13""","60.10""",0°,-90.0°,-0.0°,0°,0°,No,0°,0°,No,0°,0°,b3e333bf-847d-4fc1-a928-2bb77e308edd,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"8.05""","220.79""","60.10""",0°,0°,75.0°,-270°,75°,No,,,No,,,6d74e45c-ae30-4261-808f-842a0d1f4d37,
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"115.60""","191.97""","60.10""",0°,-90.0°,0.0°,89°,0°,No,0°,0°,No,0°,0°,3d206253-7194-442a-af1c-4346f92482cb,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"161.00""","179.81""","60.10""",0°,-90.0°,-0.0°,0°,0°,No,0°,0°,No,0°,0°,b19166b1-83b9-4ec6-8bb7-7229c60119fd,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"98.85""","196.46""","60.10""",0°,0°,75.0°,-270°,75°,No,,,No,,,75fc2c74-ef55-450b-b1e8-601caa6ac59a,
Elation Smarty Max,Beam Mode,700W,,,0,,,Standard,27,Fixture Spots,,,,,,Substitute with LED hybrid/beam,59.9lbs,,"206.40""","167.64""","60.10""",0°,-90.0°,0.0°,89°,0°,No,0°,0°,No,0°,0°,953f7a26-8bf8-4968-9d9d-5e3375179fee,
Martin MAC Aura,11.4° - 59°,218W,,,0,,,Standard,14,Fixture Washes,,,,,,Substitute with any wash,12.3lbs,,"251.80""","155.48""","60.10""",0°,-90.0°,-0.0°,0°,0°,No,0°,0°,No,0°,0°,10cad32f-63d2-4e74-a693-a290fbe16004,
Elation SixPar 200,36°,150W,,,0,,,6 Channel,6,Fixture Warmers Flown,,,,,,Substitue with any LED par that fits in Christie type B truss,10.8lbs,,"189.65""","172.13""","60.10""",0°,0°,75.0°,-270°,75°,No,,,No,,,99d77a6f-f049-4d79-8523-fd37e52c3aa5,
